Size: 128
Workaround: -55,9 canvas
Path: m0,0 h0
Style: stroke-linecap="round" stroke-width=".85" stroke="#685d45" opacity=".4"
7.93,90.94
18.48,77.05
21.12,58.63
22.73,80.01
23.66,56.48
28.12,31.11
32.35,19.78
32.50,103.96
34.80,64.33
39.65,33.22
40.71,122.11
42.76,23.54
46.05,7.35
46.21,75.76
49.22,30.55
49.74,65.01
55.50,70.35
56.02,108.71
58.21,95.11
66.03,83.62
67.67,33.18
68.90,30.72
69.21,113.90
74.07,67.50
76.78,40.12
81.04,67.19
82.31,104.51
86.34,25.57
87.31,112.21
94.32,12.33
94.57,101.57
97.26,75.70
97.62,37.48
97.70,53.12
100.10,126.55
100.72,63.41
102.71,62.46
110.60,52.39
111.65,58.26
121.22,85.51
124.05,9.63
124.34,58.79
126.80,8.40
0.63,121.72
0.98,62.86
1.51,17.34
13.66,108.03
15.14,51.18
26.42,33.97
30.08,54.07
35.16,108.27
38.11,71.62
55.67,78.83
55.73,90.70
60.35,117.37
62.32,63.59
69.76,17.10
76.12,66.66
86.47,87.58
93.01,70.52
97.16,49.51
98.75,79.26
103.82,13.10
105.02,57.90
107.45,63.16
110.04,91.89
111.64,21.46
115.45,85.31
117.63,50.74
118.11,72.14
126.93,19.13
1.99,6.24
12.60,76.14
14.37,48.24
15.69,113.36
21.85,124.45
25.20,124.81
25.79,62.57
29.86,29.53
31.46,65.07
34.84,44.98
37.35,3.17
39.69,67.69
49.80,89.69
53.14,120.45
57.74,19.79
58.51,35.94
62.68,61.40
63.44,17.41
65.57,121.38
66.79,38.32
76.02,17.77
79.49,13.00
80.92,50.95
81.16,6.06
83.07,86.43
99.53,53.70
103.11,95.71
103.86,27.75
104.60,110.75
109.63,69.92
114.19,31.66
116.19,66.97
119.66,51.11
123.03,88.91
125.12,81.19
125.75,83.40
1.14,0.73
6.41,105.97
9.85,48.93
17.04,106.85
17.77,88.16
25.72,15.05
30.48,80.92
39.80,51.14
42.90,91.69
50.74,113.71
56.01,47.30
59.24,4.76
61.11,114.74
61.75,87.02
69.08,90.99
72.18,94.02
74.03,50.15
74.66,30.59
76.08,42.33
76.29,5.67
81.17,15.08
83.84,94.05
89.37,29.82
89.75,105.00
98.02,81.39
101.56,101.86
101.61,73.48
101.99,91.18
103.25,92.66
108.08,112.57
108.09,127.03
124.36,90.56
127.13,120.03
0.04,71.30
1.32,108.28
12.39,12.23
12.96,36.99
14.21,43.76
14.54,22.37
21.34,73.55
29.38,126.90
30.77,42.86
31.15,117.94
33.97,5.45
35.78,119.50
49.77,24.29
57.21,34.19
62.95,80.40
63.20,39.81
67.55,3.23
67.70,124.19
68.85,106.43
70.55,60.55
74.03,112.56
84.28,57.76
91.59,105.94
93.06,3.16
101.43,96.95
110.59,3.14
110.76,19.18
112.63,12.72
114.08,81.89
115.33,56.06
115.55,100.28
119.06,10.17
127.82,5.81
8.07,25.82
8.19,124.98
20.26,87.80
22.66,89.05
25.15,7.01
34.13,102.54
35.87,74.70
37.65,49.81
42.57,25.78
47.35,73.62
48.23,59.46
48.89,43.76
59.80,66.03
63.72,21.03
67.37,21.50
70.45,25.35
71.17,56.28
71.61,78.64
72.56,115.47
73.82,1.18
74.35,88.74
74.45,74.45
80.60,55.87
83.45,124.39
92.25,21.86
94.96,65.16
96.46,35.54
99.51,19.76
105.82,19.68
106.13,4.88
106.41,7.63
108.90,104.23
109.52,120.93
113.19,1.15
121.73,49.36
122.69,102.51
126.22,37.43
1.79,23.57
5.25,86.17
10.76,10.75
19.22,108.82
21.02,91.12
25.13,10.26
28.80,56.33
37.39,64.44
40.96,42.71
41.89,56.45
46.75,102.96
58.90,52.57
64.60,73.93
64.96,89.97
67.22,118.23
73.53,20.51
74.01,99.84
78.62,74.79
84.02,119.51
89.68,63.67
97.29,93.18
104.08,83.46
106.68,71.13
113.44,115.26
115.09,2.89
115.55,39.78
115.83,24.36
118.16,100.51
118.86,124.31
2.97,35.70
14.95,35.56
15.45,98.95
15.55,16.62
15.98,20.79
18.35,18.49
32.95,66.45
35.97,110.57
39.17,14.62
40.34,23.25
41.53,36.97
44.61,63.46
46.83,127.39
48.48,26.03
49.59,118.06
53.25,44.69
59.62,71.84
60.17,6.33
60.80,108.70
62.63,116.29
67.83,35.72
69.42,41.37
69.55,8.86
70.99,70.26
71.48,42.68
71.74,62.86
79.26,69.31
86.02,110.28
94.14,56.90
94.46,74.26
108.09,42.91
110.80,7.31
110.99,96.99
118.13,1.67
122.90,72.05
126.15,100.93
127.28,39.18
0.54,25.28
2.83,60.98
8.05,43.23
9.28,16.47
17.72,80.62
18.07,22.02
19.43,79.27
21.26,44.19
22.63,32.84
26.74,44.18
32.84,35.20
33.08,77.13
33.70,21.70
35.25,35.43
36.36,92.63
37.89,52.10
46.95,16.50
48.27,62.26
50.36,81.03
50.43,27.18
65.01,8.10
65.14,19.42
65.84,1.57
67.56,51.43
69.93,92.97
72.38,110.68
75.34,97.36
82.57,46.82
86.46,81.40
87.83,95.95
91.51,72.25
96.78,39.43
97.73,68.72
97.90,89.93
100.67,32.18
103.86,23.47
103.97,44.38
109.25,10.48
112.88,46.30
113.00,70.17
113.17,62.97
115.58,75.27
116.14,12.74
116.83,48.92
118.11,25.96
120.26,26.73
121.45,125.33
122.44,12.95
123.24,22.51
124.73,23.75
10.69,70.04
12.55,62.74
19.82,56.40
35.80,79.01
40.06,117.44
40.43,63.97
40.69,106.45
41.56,108.79
42.69,3.50
44.49,50.04
45.34,13.22
53.66,114.77
56.79,85.50
57.96,64.64
60.04,101.81
64.11,13.30
69.10,23.40
77.13,53.20
81.38,86.19
84.30,87.71
97.05,6.26
100.73,117.74
101.99,85.70
105.48,31.84
106.54,10.04
109.31,40.85
117.91,80.35
118.98,126.08
121.54,21.77
123.10,63.04
124.62,47.12
1.74,72.77
4.03,67.44
9.81,87.31
14.16,18.07
15.65,13.02
26.12,108.79
29.16,116.22
30.13,96.41
31.68,39.38
34.69,122.81
36.46,102.23
38.41,24.64
40.08,124.13
40.48,93.60
40.79,72.71
50.66,11.02
51.41,72.16
51.53,63.96
53.97,101.77
59.70,63.63
62.79,122.43
70.11,101.10
79.13,95.17
84.06,114.00
90.60,47.74
90.96,77.36
94.85,31.66
96.79,122.69
98.90,22.21
99.97,24.21
108.75,89.87
115.43,44.31
118.14,78.39
119.99,73.99
122.21,104.71
126.28,58.06
7.49,47.81
10.60,78.04
17.12,90.56
21.53,127.11
28.43,97.26
28.76,104.29
31.61,120.42
32.86,91.15
34.88,97.46
37.18,66.72
47.35,21.41
51.82,30.97
52.07,25.12
53.48,48.29
55.58,29.91
57.83,48.06
65.27,79.83
74.18,17.28
74.28,47.71
74.63,115.96
77.24,78.77
78.96,103.72
85.74,89.82
86.19,23.14
86.73,103.96
91.71,33.16
91.72,85.15
93.62,20.19
94.30,98.41
95.07,29.49
98.03,113.27
102.05,41.91
103.16,117.65
103.31,78.67
105.86,42.47
111.61,35.07
117.50,59.03
124.07,11.66
126.89,41.98
127.22,51.28
7.94,85.78
10.04,28.98
10.44,44.51
14.81,66.22
21.68,46.57
22.24,2.62
26.76,92.91
29.66,84.13
32.84,24.61
43.73,80.14
46.76,117.96
52.34,122.85
53.88,8.35
53.97,24.27
58.59,93.01
61.44,104.17
65.82,33.20
68.70,12.79
69.93,115.69
71.69,117.26
75.29,101.67
77.20,28.69
83.32,51.72
91.71,121.62
108.34,54.04
108.54,65.08
121.78,51.33
123.65,33.15
2.11,28.44
3.99,52.69
5.15,54.74
6.93,78.86
7.60,88.57
8.42,66.70
15.04,83.76
19.04,69.54
21.52,120.26
22.79,65.70
31.19,86.05
36.78,105.14
39.28,74.72
42.58,28.11
45.58,72.67
46.82,3.89
47.01,54.28
48.53,91.92
49.38,67.44
51.81,12.88
56.14,126.44
56.25,75.97
60.15,57.92
62.45,118.24
66.03,28.57
71.90,7.09
72.01,86.24
74.02,84.13
74.71,69.18
80.76,35.77
82.98,13.82
87.01,93.80
88.13,90.60
88.56,99.68
92.07,51.04
96.59,9.73
97.32,101.23
97.97,61.46
102.01,83.83
111.20,99.02
115.57,8.79
116.14,87.89
119.72,19.84
10.94,74.38
13.31,7.62
17.67,71.71
19.33,62.87
19.52,74.91
21.69,67.21
24.41,127.69
24.53,119.69
30.02,109.51
30.37,4.23
37.49,17.92
40.31,95.81
43.47,30.64
45.24,126.69
45.32,34.71
46.09,28.51
47.27,44.78
50.95,106.87
55.66,37.35
56.94,51.83
57.45,37.83
58.46,127.34
60.71,10.51
65.17,37.55
67.47,87.35
68.49,15.07
72.45,71.27
74.17,63.09
76.39,95.15
81.26,17.28
86.79,101.49
87.21,28.00
92.72,31.24
94.50,72.49
99.11,120.02
101.70,6.22
106.29,55.25
110.96,56.34
112.99,110.46
114.88,71.91
119.23,108.44
120.16,69.37
123.93,86.26
127.28,2.82
5.85,76.81
7.25,108.77
7.49,99.74
7.64,69.06
7.70,41.23
12.15,118.00
15.31,62.55
17.25,60.61
18.77,43.51
23.87,69.58
24.14,117.53
24.62,2.06
26.17,89.45
28.72,92.09
37.15,7.78
37.78,28.59
38.27,89.91
42.60,106.09
43.88,32.72
45.01,113.19
49.30,1.80
49.58,70.01
50.85,55.86
51.50,38.04
54.49,32.70
59.70,81.20
60.53,70.31
64.96,63.26
67.47,101.34
69.93,1.59
75.88,109.25
79.26,30.24
80.24,108.64
83.28,102.04
83.76,32.70
85.03,21.38
85.29,52.83
89.86,35.41
91.91,90.85
95.09,33.81
96.40,66.85
99.47,85.68
99.93,99.49
102.59,39.91
108.18,61.09
109.02,95.34
113.76,104.39
115.44,95.05
116.22,113.04
119.65,28.94
120.65,79.74
121.95,76.36
122.29,7.81
1.43,125.98
7.83,114.83
13.28,99.76
16.73,78.62
18.93,26.47
22.82,72.05
30.18,6.02
35.14,25.40
44.81,42.26
51.33,120.33
51.63,21.13
55.57,102.67
56.71,10.23
57.88,57.84
62.08,125.10
62.12,69.38
63.41,6.83
70.19,52.51
71.00,89.89
71.64,21.35
71.85,26.96
73.76,32.59
83.66,40.72
88.02,120.18
89.06,124.76
93.38,44.72
93.40,88.95
97.95,73.57
98.47,46.25
99.72,8.37
99.91,74.59
100.77,78.70
102.06,99.28
104.27,122.06
104.39,34.52
106.27,49.62
106.32,44.71
109.06,99.06
109.78,83.89
112.75,49.33
113.99,124.11
116.53,57.75
116.70,17.81
117.55,119.65
0.02,13.81
5.98,17.02
12.80,83.83
17.76,63.55
18.60,41.53
20.01,39.33
26.59,41.85
26.72,67.29
27.32,88.22
33.12,124.65
35.86,69.63
36.77,107.02
38.34,111.25
39.18,86.26
41.03,91.79
41.95,5.78
43.37,97.27
45.35,87.97
49.42,97.31
56.05,2.26
56.29,111.69
61.00,30.68
65.01,57.74
69.07,73.34
71.61,14.72
87.20,15.12
87.43,118.16
93.17,124.88
104.30,65.28
109.41,109.82
114.40,60.76
114.76,65.64
117.81,38.79
120.18,119.99
120.59,31.28
120.66,46.28
122.65,47.27
123.68,84.17
124.99,60.87
10.16,40.05
10.97,85.33
20.01,71.80
20.36,81.26
21.10,40.68
28.90,89.75
34.61,61.83
42.36,48.43
44.70,44.87
58.24,25.63
59.80,125.49
64.68,86.03
66.58,95.37
67.79,120.33
81.19,53.29
81.70,74.05
88.39,26.17
88.70,122.65
89.31,15.84
89.62,40.48
92.13,10.89
93.29,59.39
99.84,33.85
106.23,14.05
106.91,21.75
109.02,106.50
110.90,124.08
113.88,97.78
118.32,121.93
121.30,97.67
122.18,109.54
122.55,92.42
126.98,124.38
1.25,19.35
1.27,94.71
3.72,88.72
5.77,25.87
7.37,50.13
15.47,56.16
15.84,7.98
23.49,8.88
26.06,99.21
27.99,74.21
30.41,62.06
30.49,74.07
30.68,19.04
31.02,16.81
38.07,9.94
42.50,63.15
43.56,85.69
47.34,19.36
62.40,120.38
63.21,72.10
67.85,0.62
73.41,65.11
78.89,101.21
81.75,122.00
83.09,54.29
88.25,109.76
92.64,67.46
94.95,49.10
99.13,30.17
102.59,16.87
103.93,52.35
112.82,65.80
117.33,27.90
120.25,5.87
121.79,87.35
121.96,25.24
122.83,1.28
124.76,73.97
125.12,1.29
125.26,17.24
126.05,56.18
1.62,38.47
3.68,95.39
5.96,110.39
6.33,116.79
22.38,4.41
23.77,23.07
26.20,76.61
33.24,29.99
33.34,37.70
33.83,71.23
33.94,50.20
37.66,125.91
45.57,57.98
50.97,9.50
57.00,96.98
57.27,54.54
66.10,14.53
67.16,19.34
67.46,74.62
72.17,12.02
74.39,55.60
74.47,44.48
76.95,84.60
78.01,124.11
80.53,58.93
86.00,18.54
87.77,105.92
90.06,101.20
90.20,10.38
90.96,123.13
91.21,29.52
92.82,14.34
94.12,85.78
96.44,97.18
96.64,28.45
96.81,83.03
104.08,7.79
107.38,87.02
113.26,90.63
116.63,106.38
118.21,23.85
120.05,71.76
120.40,103.51
123.04,3.20
125.98,12.83
1.18,110.48
1.86,13.45
10.26,0.92
10.80,55.39
12.62,45.00
18.78,105.98
18.95,65.92
19.41,96.36
21.23,19.18
30.44,23.96
32.88,58.34
39.42,97.75
43.03,125.85
50.26,15.48
51.41,96.53
53.55,39.77
55.50,53.59
55.63,8.34
55.98,124.19
58.02,124.72
58.59,116.74
62.63,2.83
64.42,94.02
65.47,103.01
72.10,59.74
79.08,66.80
81.40,11.85
81.56,94.67
81.76,110.51
91.63,116.56
93.08,77.98
96.54,91.19
97.03,95.40
111.30,120.92
116.37,19.74
120.91,17.31
123.70,94.86
1.71,119.66
2.66,9.72
3.88,120.03
4.18,78.64
8.50,33.26
12.31,109.76
16.29,5.15
17.50,55.11
22.56,101.91
26.83,119.71
35.45,30.46
36.02,60.99
36.29,14.02
42.66,41.05
44.07,99.72
44.09,117.40
49.66,100.17
51.36,86.79
53.53,99.39
55.50,11.86
57.65,119.57
61.42,21.46
61.52,82.00
62.32,110.29
65.70,66.65
66.78,53.51
74.98,21.35
76.38,44.93
78.23,98.92
78.26,113.53
80.61,24.25
82.09,62.02
87.49,62.89
89.15,113.37
97.56,41.52
97.90,65.57
101.80,44.30
103.24,127.48
104.12,119.53
105.87,96.82
108.15,72.29
109.29,87.35
110.22,44.57
111.76,39.64
112.06,107.84
112.47,102.48
116.36,41.45
126.33,22.36
4.62,64.94
5.07,33.67
5.99,122.15
6.41,56.35
7.89,58.77
10.73,33.82
12.26,0.22
13.97,13.65
16.74,69.56
17.22,57.49
18.43,101.61
19.35,20.42
27.45,4.99
28.20,101.86
28.58,2.81
30.67,57.43
31.36,22.21
35.55,51.09
42.60,13.04
44.11,7.46
48.69,74.93
51.93,115.59
55.61,94.77
58.93,85.44
62.88,48.95
64.47,30.67
71.41,104.32
72.11,48.90
72.51,88.33
85.49,67.00
86.10,4.19
104.24,80.70
106.20,25.79
107.94,6.23
108.27,68.12
117.51,42.74
126.73,116.12
126.73,54.14
127.25,85.30
127.33,67.98
2.60,26.06
8.75,22.14
9.38,53.33
27.63,58.13
27.94,114.50
38.16,123.63
40.09,12.41
43.25,35.64
44.55,52.86
46.40,92.75
49.25,55.06
65.59,5.43
68.95,38.69
75.80,23.54
77.46,22.44
81.04,40.20
86.41,91.97
95.26,127.03
101.61,119.79
104.50,107.56
109.98,25.66
110.23,14.47
113.33,40.86
122.47,42.01
126.31,99.21
3.63,104.47
17.13,84.95
22.95,27.57
27.10,69.25
27.71,84.98
33.54,88.97
36.18,82.47
37.92,38.06
40.19,79.10
42.48,60.86
45.43,96.80
47.21,1.50
47.23,113.82
50.16,22.35
51.73,109.45
53.25,37.46
57.52,101.70
71.51,106.11
76.92,119.50
78.91,32.94
79.08,14.81
81.56,90.72
