Size: 256
Style: stroke-linecap="round" stroke-width="1.6" stroke="#ffffff"
Path: m-.05,-.05 h0
1.8,2.55
7.16,1.65
12.67,3.28
18.84,3.65
22.58,2.24
27.2,3.44
34.04,1.11
36.61,0.71
45,0.99
46.75,4.51
52.05,3.51
57.13,1.11
64.06,1.18
68.07,2
74.19,1.31
77.5,1.86
81.08,3.33
87.65,2.59
91.59,2.64
97.91,3.73
103.96,2.35
109.43,3.18
113.56,3.33
120.06,1.66
123.36,3.41
129.02,3.4
134.28,1.53
138.56,1.92
144.36,3.02
146.76,1.35
153.1,3.44
157.38,2.75
162.46,3.58
168.85,3.35
174.17,2.48
179.21,3.37
183.07,1.41
189.25,1.47
194.84,4.81
196.77,1.8
202.74,3.53
209.05,3.54
213.1,2.05
217.45,1.23
223.32,4.18
228.2,2.53
233.33,1.01
239.74,2.21
243.65,1.02
249.25,1.03
254.46,2.69
4.11,7.85
7.44,7.77
11,7.44
18.12,9.51
21.55,7.84
29.03,8.28
33.05,6.22
38.4,9.1
43.39,7.51
48.41,8.9
51.66,8.06
56.73,6.38
61.59,7.18
67.45,5.92
71.99,6.07
79.39,7.69
83.22,6.31
87.39,7.62
92.01,7.58
98.41,7.15
102.37,8.44
109.07,8.67
113.61,8.3
117.76,8.63
124.27,9.25
127.43,8.65
134.46,7.43
137.57,8.32
141.98,8.16
149.55,9.02
151.95,6.97
159.98,6.37
162.98,9.62
169.66,8.24
173.13,6.12
179.52,8.75
181.91,6.84
188.79,8.18
191.5,6.44
199.69,9.19
202.14,8.56
207.4,7.11
213.72,8.65
218.44,7.47
224.37,8.67
228.41,6.63
234.71,6.72
239.76,7.51
242.66,8.07
246.82,7.3
255.02,9.05
0.48,13.96
5.69,14.4
12.37,13.97
18.27,13.49
21.83,13.13
26.88,10.71
34.54,13.2
36.12,10.72
43.83,13.77
46.23,11.45
52.83,14.28
58.06,12.01
64.17,13.04
68.28,10.61
72.16,13.56
77.57,12.45
85.17,14.88
86.2,10.91
93.29,11.54
97.38,10.79
104.14,13.15
