Size: 256
Workaround: -73,110 canvas
Path: m0,0 h0
Style: stroke-linecap="round" stroke-width="1" stroke="#cbc9c6"
0.84,210.24
1.55,88.38
1.82,71.03
1.85,228.38
1.86,198.16
1.88,23.14
2.15,163.72
2.32,49.70
2.47,166.63
2.95,237.15
3.12,144.73
3.74,53.63
4.19,226.68
4.32,98.96
4.57,169.12
4.68,208.36
5.07,193.95
5.88,243.72
6.04,224.36
6.27,102.83
7.03,8.03
7.54,64.59
8.09,131.44
8.24,85.10
8.53,61.94
8.60,232.92
8.73,67.22
9.09,177.33
9.83,198.85
10.09,88.49
10.53,72.01
10.80,181.94
11.56,28.52
11.58,184.94
11.72,97.64
11.84,118.03
11.89,211.85
11.91,17.26
11.91,62.15
12.22,166.78
12.54,12.70
12.78,243.56
12.95,75.29
13.62,204.63
14.00,34.11
14.81,24.18
14.87,17.92
14.97,28.17
15.22,144.97
15.32,141.42
15.55,21.26
15.84,64.11
16.48,77.96
17.05,129.67
17.17,28.84
17.27,204.41
17.42,196.33
17.51,45.01
17.56,231.58
17.91,81.25
17.93,75.06
18.51,71.65
18.51,88.20
18.75,171.01
18.96,147.48
19.57,64.46
19.67,53.13
19.94,95.87
20.01,220.54
20.50,178.81
21.27,71.55
21.42,8.35
21.60,225.29
21.63,1.81
21.67,182.79
21.71,4.53
21.98,175.93
22.01,167.94
22.48,148.36
22.77,198.61
23.38,43.05
23.91,243.44
24.15,89.38
24.27,40.72
24.48,210.31
24.59,0.50
24.90,253.19
25.11,241.33
25.13,55.54
25.22,11.30
25.33,187.96
27.01,207.76
27.08,82.14
27.09,48.21
27.13,28.01
27.22,169.16
27.35,96.77
27.48,215.69
27.63,158.21
27.79,203.03
27.84,10.04
28.51,178.92
28.62,4.26
28.69,148.80
28.71,0.96
28.99,21.46
29.23,200.99
29.32,24.17
29.35,144.25
29.46,152.27
29.87,237.59
30.22,48.05
30.59,205.09
30.66,207.49
30.80,51.24
30.81,198.75
31.29,4.87
31.45,20.93
31.49,8.46
31.71,111.39
32.27,155.87
32.67,194.65
32.83,72.55
34.23,113.32
34.26,94.76
34.51,79.16
34.99,133.24
35.13,27.81
35.28,8.70
35.44,70.81
35.57,124.25
36.06,20.69
36.25,247.09
37.32,214.16
37.42,92.87
37.48,26.08
37.80,45.46
38.20,201.83
38.22,254.87
38.79,107.19
39.60,39.75
40.03,208.42
40.07,153.05
40.07,157.62
40.39,22.72
40.93,140.96
41.05,62.14
41.08,248.24
41.16,188.89
41.40,27.95
41.65,35.85
41.69,8.99
42.02,108.68
42.08,66.35
42.87,211.00
43.81,61.39
43.94,119.26
43.94,220.49
44.68,241.09
44.73,28.47
44.82,115.69
44.83,181.72
44.84,203.18
45.37,147.62
45.56,50.31
45.58,12.37
45.76,44.86
45.79,199.83
46.09,120.82
46.72,63.32
46.91,111.83
47.14,207.70
47.40,128.25
47.67,88.58
47.72,210.64
47.73,9.95
48.14,106.80
48.52,214.04
48.75,133.18
49.24,49.66
49.32,14.43
49.68,55.95
49.84,192.86
50.77,53.45
51.05,151.97
51.07,169.15
51.50,28.21
51.71,237.37
51.85,69.41
52.05,177.74
52.35,161.37
52.44,232.72
52.71,7.03
53.11,3.57
53.69,43.79
53.93,71.52
54.71,14.78
54.84,29.13
54.87,111.11
55.24,205.36
55.35,55.29
55.48,63.55
56.09,45.07
56.29,36.91
56.86,17.64
57.23,189.33
57.37,175.09
57.67,111.82
57.98,246.60
58.06,148.12
58.26,215.35
58.56,104.02
58.77,234.19
59.63,60.74
60.33,223.25
60.56,94.83
60.67,194.01
60.94,204.94
61.12,238.00
61.95,240.77
62.12,51.69
62.33,18.61
62.33,251.69
62.85,226.96
62.90,66.53
62.96,79.36
63.03,138.80
63.20,84.18
63.77,230.46
63.79,197.46
63.86,98.03
64.39,161.06
64.39,200.46
64.41,30.08
64.75,169.10
64.78,254.09
64.85,147.29
65.03,36.68
65.14,42.27
65.18,211.52
65.58,108.13
65.94,44.63
66.57,203.33
67.77,134.58
67.80,14.08
67.95,220.81
68.02,21.19
68.08,234.56
68.15,239.97
68.17,24.31
68.28,125.62
68.32,177.73
68.57,181.67
69.11,188.06
69.69,10.67
71.52,132.55
71.54,247.59
71.61,96.01
71.83,15.67
71.91,12.77
72.01,163.51
72.26,147.37
72.38,138.31
72.50,47.80
73.50,141.02
73.95,167.44
73.97,77.12
74.11,62.44
74.17,181.74
74.32,98.47
74.80,184.28
74.93,148.88
75.25,4.82
75.82,125.23
75.94,102.96
76.18,179.22
76.97,117.42
77.02,77.00
77.31,190.35
77.36,157.08
78.02,25.00
78.27,160.42
78.30,133.77
78.42,173.97
78.93,104.65
79.11,151.52
79.22,222.82
79.33,9.77
80.13,190.04
80.57,163.86
80.63,171.87
80.65,112.65
81.19,108.01
81.37,101.87
81.64,249.93
81.67,175.15
81.74,161.42
81.96,201.31
82.04,180.33
82.05,19.10
82.31,98.13
82.72,7.69
83.50,95.25
83.57,45.49
84.06,182.79
84.11,1.74
84.25,84.46
84.60,43.18
84.69,115.20
84.73,105.75
84.83,15.64
84.97,77.89
84.98,55.00
85.08,87.40
85.30,158.05
85.72,147.38
86.71,68.88
86.82,230.94
87.18,35.62
87.38,52.65
